url,page,phase,spoiler,basis,production_status,primary_query,search_intent,notes
/history/empire-to-compact/,From Empire to Compact,P2,S0,N+C,planned,,,
/history/northern-anticlericalism/,Revolution and Anti-Clericalism in the North,H,S0,N+C,planned,,,
/history/twentieth-century/,Ateshism in the Twentieth Century,P2,S0,N+C,planned,,,
/history/1991/,The Ateshi World in 1991,L,S0,N,published,Ateshi world in 1991,informational,
/world/,World hub,L,S0,N,published,Ateshi world,informational,
/world/map/,Map of the Ateshi World,L,S0,N,published,map of the Ateshi world,informational,
/world/compact/,The Compact,L,S0,N,published,Ateshi Compact,entity-definition,
/world/persia/,Persia,L,S0,N,published,Persia in The Ashen Flame,entity-definition,
/world/tehran/,Tehran,P1,S0,N,planned,,,
/world/isfahan/,Isfahan,P1,S0,N,planned,,,
/world/khorasan/,Khorasan,P1,S0,N,planned,,,
/world/tus/,Tus,P2,S0,N,planned,,,
/world/dargaz/,Dargaz,P1,S1,N,planned,,,
/world/sogdiana/,Sogdiana,P1,S0,N,planned,,,
/world/samarkand/,Samarkand,P1,S1,N,planned,,,
/world/bukhara/,Bukhara,P2,S0,N,planned,,,
/world/bactria/,Bactria,P2,S0,N,planned,,,
/world/khwarazm/,Khwarazm,P2,S0,N,planned,,,
/world/turkmenia/,Turkmenia,P2,S0,N,planned,,,
/world/central-asia/,Central Asian Republics,P2,S0,N+C,planned,,,
/world/caucasus/,The Ateshi Caucasus,P2,S0,N+C,planned,,,
/world/ararat/,The Republic of Ararat,P2,S0,N,planned,,,
/world/northern-compact/,"Russia, Ukraine and Belarus",P2,S0,N+C,planned,,,
/world/baltic-republics/,"Estonia, Latvia and Lithuania",P2,S0,N+C,planned,,,
/world/pakistan-afghanistan/,Pakistan and Afghanistan,P2,S0,N+C,planned,,,
/world/gulf-states/,The Gulf States,H,S0,C?,planned,,,
/world/iraq-najd-al-hasa/,"Iraq, Najd and al-Hasa",H,S0,N+C,planned,,,
/world/israel-relations/,Israel and the Ateshi States,H,S0,C?,planned,,,
/people/,People hub,L,S0,N,published,The Ashen Flame characters,navigational,
/people/farah-kianzad/,Farah Kianzad,L,S1–S3,N,published,Farah Kianzad,entity-definition,
/people/anousheh/,Anousheh,L,S1–S3,N,published,Mother Anousheh,entity-definition,
/people/golnaz/,Golnaz,P1,S1–S3,N,planned,,,
/people/omid-kianzad/,Omid Kianzad,P1,S1–S3,N,planned,,,
/people/behnoosh/,Behnoosh,P1,S1–S3,N,planned,,,
/people/parvin/,Parvin,P1,S1–S2,N,planned,,,
/people/roshan/,Roshan,P1,S1–S2,N,planned,,,
/people/homa-darvishi/,Homa Darvishi,P2,S1–S2,N,planned,,,
/people/kaveh/,Kaveh,P2,S1–S2,N,planned,,,
/people/sepideh/,Sepideh,P2,S2–S3,N,planned,,,
/people/milad/,Milad,H,S3,N,planned,,,
/people/historical-figures/,Historical Ateshi Figures,P2,S0,N+C,planned,,,
/archive/,The Ash Archive,L,S0,N+NEW,published,Ash Archive Ateshi world,navigational,
/archive/private-tally/,Farah's Undated Private Tally,P1,S1,N,planned,,,
/archive/wednesday-notice/,Wednesday Rotation Notice,P1,S1,N,planned,,,
/archive/ordination-record/,Farah Kianzad: Ordination Record,P1,S1,N,planned,,,
/archive/anousheh-dossier/,The Anousheh Dossier,H,S2–S3,N,planned,,,
/archive/newspapers-1991/,Newspapers of 1991,P2,S1–S3,N+NEW,planned,,,
/archive/temple-circulars/,Temple Circulars and Notices,P2,S0–S2,N+NEW,planned,,,
/archive/equal-ember/,Equal Ember Papers,P2,S2,N+NEW,planned,,,
/archive/historical-maps/,Historical Maps,P2,S0,N+C,planned,,,
/archive/photographs/,Photographs of the Ateshi World,P1,S0–S2,NEW,planned,,,
/archive/oral-histories/,Oral Histories,H,S0–S3,NEW,planned,,,
/archive/source-notes/,Archivist's Notes and Corrections,P2,S0,NEW,planned,,,
